op_name,forward-compute,backward-compute,input_size,output_size,weights,activations,fwd_reserved,bwd_reserved
encoder-embedding,391.030,1135.439,0.031,16.000,63.750,24.000,24.000,124.000
enc-1st-layernorm,60.111,186.551,16.000,32.000,0.000,16.062,0.000,128.000
enc-attention-qkv,797.701,1451.957,32.000,64.000,6.000,48.000,48.000,242.000
enc-attention-score,1059.991,1989.156,64.000,544.000,0.000,512.000,512.000,1072.000
enc-attention-softmax,1795.673,1905.996,544.000,544.000,0.000,512.000,0.000,1536.000
enc-attention-dropout,1916.152,1617.444,544.000,544.000,0.000,768.000,0.000,2048.000
enc-attention-context,1330.519,1750.445,544.000,32.000,0.000,16.000,16.000,560.000
enc-attention-dense,219.876,425.899,32.000,32.002,2.000,16.000,0.000,64.000
enc-post-attention-dropout,188.303,106.061,32.002,16.000,0.000,24.000,28.000,128.000
enc-2nd-layernorm,60.415,204.009,16.000,32.000,0.000,16.062,0.000,128.000
enc-MLP-GEMM-1,816.602,1655.179,32.000,80.008,8.000,64.000,0.000,208.000
enc-MLP-gelu,184.613,347.048,80.008,80.000,0.000,64.000,0.000,336.000
enc-MLP-GEMM-2,776.219,1671.070,80.000,32.002,8.000,16.000,0.000,80.000
enc-post-MLP-dropout,189.495,141.948,32.002,16.000,0.000,24.000,28.000,128.000
enc-final-layernorm,120.711,533.009,16.000,16.000,0.000,32.062,0.000,64.000
decoder-embedding,211.686,48.858,16.000,20.000,63.750,22.020,0.000,68.000
dec-1st-layernorm,43.029,137.645,20.000,24.000,0.000,4.016,15.984,68.000
dec-attention-qkv-1,219.613,458.252,24.000,32.000,6.000,12.000,20.000,148.000
dec-attention-score-1,83.113,271.499,32.000,56.000,0.000,32.000,32.000,112.000
dec-attention-softmax-1,99.105,100.100,56.000,56.000,0.000,32.000,0.000,128.000
dec-attention-dropout-1,123.674,109.702,56.000,56.000,0.000,48.000,0.000,176.000
dec-attention-context-1,118.655,179.911,56.000,24.000,0.000,4.000,0.000,100.000
dec-attention-dense-1,74.106,135.976,24.000,24.002,2.000,4.000,0.000,68.000
dec-post-attention-dropout-1,100.362,89.788,24.002,20.000,0.000,6.000,0.000,88.000
dec-2nd-layernorm,41.819,116.730,20.000,24.000,0.000,4.016,15.984,68.000
dec-attention-qkv-2,618.654,1145.405,24.000,56.000,6.000,36.000,28.000,276.000
dec-attention-score-2,277.489,659.299,56.000,164.000,0.000,128.000,128.000,384.000
dec-attention-softmax-2,428.855,487.542,164.000,164.000,0.000,128.000,0.000,432.000
dec-attention-dropout-2,483.018,409.669,164.000,164.000,0.000,192.000,0.000,560.000
dec-attention-context-2,389.665,485.170,164.000,24.000,0.000,4.000,16.000,192.000
dec-attention-dense-2,69.326,179.207,24.000,24.002,2.000,4.000,0.000,68.000
dec-post-attention-dropout-2,78.803,78.404,24.002,20.000,0.000,6.000,0.000,88.000
dec-3rd-layernorm,40.686,107.461,20.000,24.000,0.000,4.016,15.984,68.000
dec-MLP-GEMM-1,219.226,424.516,24.000,36.008,8.000,16.000,0.000,116.000
dec-MLP-gelu,49.901,129.849,36.008,36.000,0.000,16.000,0.000,176.000
dec-MLP-GEMM-2,227.320,439.638,36.000,24.002,8.000,4.000,0.000,84.000
dec-post-MLP-dropout,65.124,107.855,24.002,20.000,0.000,6.000,0.000,88.000
dec-final-layernorm,62.811,543.344,20.000,20.000,0.000,8.016,11.984,68.000
t5-post-process,4581.052,4312.336,4.000,0.000,59.750,240.025,119.975,0.000
