op_name,forward-compute,backward-compute,input_size,output_size,weights,activations,fwd_reserved,bwd_reserved
encoder-embedding,400.165,519.677,0.008,4.000,18.938,6.018,0.000,20.000
enc-1st-layernorm,42.508,101.626,4.000,8.000,0.000,4.016,0.000,20.000
enc-attention-qkv,197.915,399.591,8.000,7.000,1.500,3.000,0.000,16.000
enc-attention-score,67.310,160.142,7.000,37.000,0.000,32.000,32.000,68.000
enc-attention-softmax,134.138,131.974,37.000,37.000,0.000,32.000,0.000,96.000
enc-attention-dropout,123.843,108.197,37.000,37.000,0.000,48.000,0.000,128.000
enc-attention-context,84.145,138.958,37.000,5.000,0.000,1.000,1.000,52.000
enc-attention-dense,206.772,137.335,5.000,8.002,0.500,4.000,16.000,2.000
enc-post-attention-dropout,71.706,87.711,8.002,4.000,0.000,6.000,0.000,36.000
enc-2nd-layernorm,42.865,90.828,4.000,8.000,0.000,4.016,0.000,20.000
enc-MLP-GEMM-1,79.730,337.683,8.000,8.002,2.000,4.000,0.000,20.000
enc-MLP-gelu,34.072,912.536,8.002,8.000,0.000,4.000,0.000,20.000
enc-MLP-GEMM-2,209.550,132.509,8.000,8.002,2.000,4.000,0.000,20.000
enc-post-MLP-dropout,77.459,77.536,8.002,4.000,0.000,6.000,0.000,36.000
enc-final-layernorm,44.327,937.853,4.000,4.000,0.000,4.016,0.000,20.000
decoder-embedding,481.290,53.442,4.000,5.000,18.938,1.508,4.492,0.000
dec-1st-layernorm,43.064,103.825,5.000,6.000,0.000,1.004,0.996,4.000
dec-attention-qkv-1,193.824,365.716,6.000,5.750,1.500,0.750,1.250,2.000
dec-attention-score-1,70.850,163.825,5.750,7.250,0.000,2.000,0.000,20.000
dec-attention-softmax-1,79.312,93.555,7.250,7.250,0.000,2.000,0.000,20.000
dec-attention-dropout-1,65.169,68.213,7.250,7.250,0.000,3.000,0.000,20.000
dec-attention-context-1,90.792,130.752,7.250,5.250,0.000,0.250,0.000,0.000
dec-attention-dense-1,201.350,156.547,5.250,6.002,0.500,1.000,0.000,2.000
dec-post-attention-dropout-1,78.928,86.389,6.002,5.000,0.000,1.500,0.500,2.000
dec-2nd-layernorm,41.940,101.287,5.000,6.000,0.000,1.004,0.996,4.000
dec-attention-qkv-2,258.498,594.400,6.000,7.250,1.500,2.250,0.000,24.000
dec-attention-score-2,63.823,139.475,7.250,14.000,0.000,8.000,0.000,38.000
dec-attention-softmax-2,59.235,72.544,14.000,14.000,0.000,8.000,0.000,36.000
dec-attention-dropout-2,56.627,64.279,14.000,14.000,0.000,12.000,8.000,36.000
dec-attention-context-2,80.422,127.597,14.000,5.250,0.000,0.250,0.000,22.000
dec-attention-dense-2,200.399,150.210,5.250,6.002,0.500,1.000,0.000,2.000
dec-post-attention-dropout-2,77.134,89.753,6.002,5.000,0.000,1.500,0.500,2.000
dec-3rd-layernorm,42.878,106.311,5.000,6.000,0.000,1.004,0.996,4.000
dec-MLP-GEMM-1,94.838,274.020,6.000,6.002,2.000,1.000,1.000,22.000
dec-MLP-gelu,34.622,95.820,6.002,6.000,0.000,1.000,1.000,2.000
dec-MLP-GEMM-2,219.281,140.486,6.000,6.002,2.000,1.000,1.000,22.000
dec-post-MLP-dropout,69.606,84.550,6.002,5.000,0.000,1.500,0.500,2.000
dec-final-layernorm,43.993,947.622,5.000,5.000,0.000,1.004,0.996,2.000
t5-post-process,958.886,660.664,1.000,0.000,14.938,14.944,21.056,0.000
