op_name,forward-compute,backward-compute,input_size,output_size,weights,activations,fwd_reserved,bwd_reserved
encoder-embedding,203.576,848.355,0.016,8.000,63.750,12.000,0.000,60.000
enc-1st-layernorm,44.612,112.109,8.000,16.000,0.000,8.031,0.000,72.000
enc-attention-qkv,3161.629,4994.843,16.000,200.000,48.000,192.000,192.000,708.000
enc-attention-score,3124.461,4312.454,200.000,1096.000,0.000,1024.000,1024.000,2240.000
enc-attention-softmax,3709.011,4003.484,1096.000,1096.000,0.000,1024.000,0.000,3072.000
enc-attention-dropout,3843.274,3295.728,1096.000,1096.000,0.000,1536.000,0.000,4096.000
enc-attention-context,2486.887,4833.885,1096.000,72.000,0.000,64.000,64.000,1216.000
enc-attention-dense,812.465,1586.337,72.000,16.002,16.000,8.000,0.000,64.000
enc-post-attention-dropout,105.416,80.763,16.002,8.000,0.000,12.000,8.000,68.000
enc-2nd-layernorm,41.324,113.406,8.000,16.000,0.000,8.031,0.000,72.000
enc-MLP-GEMM-1,3428.149,5174.388,16.000,264.062,64.000,256.000,0.000,832.000
enc-MLP-gelu,717.746,1347.706,264.062,264.000,0.000,256.000,0.000,1104.000
enc-MLP-GEMM-2,3119.420,5606.735,264.000,16.002,64.000,8.000,0.000,336.000
enc-post-MLP-dropout,105.277,78.621,16.002,8.000,0.000,12.000,8.000,68.000
enc-final-layernorm,64.827,1617.252,8.000,8.000,0.000,16.031,3.969,36.000
decoder-embedding,272.256,56.216,8.000,10.000,63.750,11.012,10.988,16.000
dec-1st-layernorm,41.325,100.842,10.000,12.000,0.000,2.008,0.000,36.000
dec-attention-qkv-1,800.486,1359.875,12.000,58.000,48.000,48.000,48.000,292.000
dec-attention-score-1,228.275,463.891,58.000,90.000,0.000,64.000,64.000,192.000
dec-attention-softmax-1,141.034,172.006,90.000,90.000,0.000,64.000,0.000,208.000
dec-attention-dropout-1,243.835,209.731,90.000,90.000,0.000,96.000,0.000,272.000
dec-attention-context-1,255.252,405.891,90.000,26.000,0.000,16.000,16.000,128.000
dec-attention-dense-1,237.795,411.916,26.000,12.002,16.000,2.000,0.000,68.000
dec-post-attention-dropout-1,69.278,90.638,12.002,10.000,0.000,3.000,0.000,36.000
dec-2nd-layernorm,40.704,97.078,10.000,12.000,0.000,2.008,0.000,36.000
dec-attention-qkv-2,2375.915,3720.446,12.000,154.000,48.000,144.000,128.000,608.000
dec-attention-score-2,846.527,1418.660,154.000,330.000,0.000,256.000,256.000,768.000
dec-attention-softmax-2,882.454,1005.565,330.000,330.000,0.000,256.000,0.000,804.000
dec-attention-dropout-2,963.107,826.726,330.000,330.000,0.000,384.000,0.000,1040.000
dec-attention-context-2,677.335,1424.336,330.000,26.000,0.000,16.000,16.000,368.000
dec-attention-dense-2,240.309,416.807,26.000,12.002,16.000,2.000,0.000,68.000
dec-post-attention-dropout-2,70.076,84.809,12.002,10.000,0.000,3.000,0.000,36.000
dec-3rd-layernorm,37.934,96.813,10.000,12.000,0.000,2.008,0.000,36.000
dec-MLP-GEMM-1,850.916,1469.362,12.000,74.062,64.000,64.000,0.000,272.000
dec-MLP-gelu,183.029,353.366,74.062,74.000,0.000,64.000,0.000,352.000
dec-MLP-GEMM-2,856.689,1521.111,74.000,12.002,64.000,2.000,0.000,164.000
dec-post-MLP-dropout,70.227,85.965,12.002,10.000,0.000,3.000,0.000,36.000
dec-final-layernorm,63.514,1623.292,10.000,10.000,0.000,4.008,0.000,36.000
t5-post-process,2460.991,2220.387,2.000,0.000,59.750,120.013,59.987,90.000
