op_name,forward-compute,backward-compute,input_size,output_size,weights,activations,fwd_reserved,bwd_reserved
encoder-embedding,970.799,1511.866,0.008,20.000,145.000,30.018,0.000,226.000
enc-1st-layernorm,115.286,331.382,20.000,40.000,0.000,20.016,0.000,160.000
enc-attention-qkv,984.097,2478.292,40.000,35.000,37.500,15.000,21.000,158.000
enc-attention-score,248.675,330.172,35.000,105.000,0.000,80.000,80.000,180.000
enc-attention-softmax,2143.947,3489.896,105.000,105.000,0.000,240.000,160.000,560.000
enc-attention-dropout,301.986,261.014,105.000,105.000,0.000,120.000,0.000,320.000
enc-attention-context,173.868,378.783,105.000,25.000,0.000,5.000,0.000,90.000
enc-attention-dense,909.728,560.014,25.000,40.010,12.500,20.000,0.000,94.000
enc-post-attention-dropout,230.178,132.446,40.010,20.000,0.000,30.000,20.000,160.000
enc-2nd-layernorm,115.948,333.451,20.000,40.000,0.000,20.016,0.000,160.000
enc-MLP-GEMM-1,1243.250,2899.410,40.000,40.010,50.000,20.000,0.000,130.000
enc-MLP-gelu,60.215,138.249,40.010,40.000,0.000,20.000,0.000,160.000
enc-MLP-GEMM-2,1792.799,2173.345,40.000,40.010,50.000,20.000,0.000,130.000
enc-post-MLP-dropout,232.224,123.523,40.010,20.000,0.000,30.000,20.000,160.000
final-layernorm,116.322,971.634,20.000,20.000,0.000,20.016,0.000,80.000
gpt-post-process,4335.880,6231.953,20.000,0.000,125.000,100.025,49.975,126.000
