op_name,forward-compute,backward-compute,input_size,output_size,weights,activations,fwd_reserved,bwd_reserved
encoder-embedding,1817.766,1999.350,0.062,32.000,54.000,48.141,95.859,192.000
enc-1st-layernorm,104.669,394.728,32.000,64.000,0.000,32.125,0.000,256.000
enc-attention-qkv,835.909,2438.103,64.000,80.000,3.000,48.000,32.000,258.000
enc-attention-score,1069.736,2095.299,80.000,560.000,0.000,512.000,512.000,1072.000
enc-attention-softmax,1215.665,1593.920,560.000,560.000,0.000,512.000,0.000,1536.000
enc-attention-dropout,1921.372,1655.071,560.000,560.000,0.000,768.000,0.000,2048.000
enc-attention-context,1233.065,1771.939,560.000,48.000,0.000,16.000,16.000,560.000
enc-attention-dense,1267.848,432.552,48.000,64.002,1.000,32.000,0.000,114.000
enc-post-attention-dropout,361.446,202.427,64.002,32.000,0.000,48.000,32.000,208.000
enc-2nd-layernorm,103.811,389.247,32.000,64.000,0.000,32.125,0.000,256.000
enc-MLP-GEMM-1,884.687,2520.844,64.000,96.004,4.000,64.000,0.000,224.000
enc-MLP-gelu,182.693,364.509,96.004,96.000,0.000,64.000,0.000,336.000
enc-MLP-GEMM-2,1843.394,1424.043,96.000,64.002,4.000,32.000,0.000,160.000
enc-post-MLP-dropout,362.377,193.276,64.002,32.000,0.000,48.000,32.000,208.000
final-layernorm,216.745,1591.758,32.000,32.000,0.000,64.125,0.000,128.000
gpt-post-process,29488.639,24648.238,32.000,0.000,50.000,1600.203,799.797,0.000
